Time [s],PIN_TASK_A,PIN_TASK_B
4.788632160,0,1
4.788632960,0,0
4.788633440,1,0
4.788634720,1,1
4.788635520,1,0
4.788637120,1,1
4.788637920,1,0
4.788638400,0,0
4.788639680,0,1
4.788640480,0,0
4.788642240,0,1
4.788643040,0,0
4.788644640,0,1
4.788645440,0,0
4.788645920,1,0
4.788648960,0,0
4.788649600,0,1
4.788650400,0,0
4.788650880,1,0
4.788652000,1,1
4.788652800,1,0
4.788654560,1,1
4.788655360,1,0
4.788655680,0,0
4.788657120,0,1
4.788657760,0,0
4.788658400,1,0
4.788659520,1,1
4.788660320,1,0
4.788662080,1,1
4.788662880,1,0
4.788664480,1,1
4.788665280,1,0
4.788667040,1,1
4.788667840,1,0
4.788668320,0,0
4.788669600,0,1
4.788670400,0,0
4.788670880,1,0
4.788673760,0,0
4.788674400,0,1
4.788675200,0,0
4.788676960,0,1
4.788677600,0,0
4.788678240,1,0
4.788679360,1,1
4.788680160,1,0
4.788680640,0,0
4.788681920,0,1
4.788682720,0,0
4.788684320,0,1
4.788685120,0,0
4.788686880,0,1
4.788687680,0,0
4.788689440,0,1
4.788690240,0,0
4.788691840,0,1
4.788692640,0,0
4.788694400,0,1
4.788695200,0,0
4.788695680,1,0
4.788698720,0,0
4.788699200,0,1
4.788700000,0,0
4.788701760,0,1
4.788702560,0,0
4.788703040,1,0
4.788704320,1,1
4.788704960,1,0
4.788706720,1,1
4.788707520,1,0
4.788708000,0,0
4.788709280,0,1
4.788710080,0,0
4.788711680,0,1
4.788712480,0,0
4.788714240,0,1
4.788715040,0,0
4.788716800,0,1
4.788717600,0,0
4.788719200,0,1
4.788720000,0,0
4.788720640,1,0
4.788723520,0,0
4.788724160,0,1
4.788724960,0,0
4.788726560,0,1
4.788727360,0,0
4.788729120,0,1
4.788729920,0,0
4.788731680,0,1
4.788732320,0,0
4.788734080,0,1
4.788734880,0,0
4.788736640,0,1
4.788737440,0,0
4.788739040,0,1
4.788739840,0,0
4.788741600,0,1
4.788742400,0,0
4.788744160,0,1
4.788744960,0,0
4.788745440,1,0
4.788748320,0,0
4.788748960,0,1
4.788749760,0,0
4.788751520,0,1
4.788752320,0,0
4.788753920,0,1
4.788754720,0,0
4.788756480,0,1
4.788757280,0,0
4.788759040,0,1
4.788759680,0,0
4.788761440,0,1
4.788762240,0,0
4.788764000,0,1
4.788764800,0,0
4.788766400,0,1
4.788767200,0,0
4.788768960,0,1
4.788769760,0,0
4.788770240,1,0
4.788773280,0,0
4.788773760,0,1
4.788774560,0,0
4.788776320,0,1
4.788777120,0,0
4.788778880,0,1
4.788779680,0,0
4.788781280,0,1
4.788782080,0,0
4.788783840,0,1
4.788784640,0,0
4.788786240,0,1
4.788787040,0,0
4.788788800,0,1
4.788789600,0,0
4.788791360,0,1
4.788792160,0,0
4.788793760,0,1
4.788794560,0,0
4.788795200,1,0
4.788798080,0,0
4.788798720,0,1
4.788799520,0,0
4.788801120,0,1
4.788801920,0,0
4.788803680,0,1
4.788804480,0,0
4.788806240,0,1
4.788806880,0,0
4.788808640,0,1
4.788809440,0,0
4.788811200,0,1
4.788812000,0,0
4.788813600,0,1
4.788814400,0,0
4.788816160,0,1
4.788816960,0,0
4.788818720,0,1
4.788819520,0,0
4.788820000,1,0
4.788822880,0,0
4.788823520,0,1
4.788824320,0,0
4.788826080,0,1
4.788826880,0,0
4.788828480,0,1
4.788829280,0,0
4.788831040,0,1
4.788831840,0,0
4.788833600,0,1
4.788834240,0,0
4.788836000,0,1
4.788836800,0,0
4.788838560,0,1
4.788839360,0,0
4.788840960,0,1
4.788841760,0,0
4.788843520,0,1
4.788844320,0,0
4.788844800,1,0
4.788847840,0,0
4.788848320,0,1
4.788849120,0,0
4.788850880,0,1
4.788851680,0,0
4.788853440,0,1
4.788854240,0,0
4.788855840,0,1
4.788856640,0,0
4.788858400,0,1
4.788859200,0,0
4.788860960,0,1
4.788861600,0,0
4.788863360,0,1
4.788864160,0,0
4.788865920,0,1
4.788866720,0,0
4.788868320,0,1
4.788869120,0,0
4.788869760,1,0
4.788872640,0,0
4.788873280,0,1
4.788874080,0,0
4.788875680,0,1
4.788876480,0,0
4.788878240,0,1
4.788879040,0,0
4.788880800,0,1
4.788881600,0,0
4.788883200,0,1
4.788884000,0,0
4.788885760,0,1
4.788886560,0,0
4.788888320,0,1
4.788888960,0,0
4.788890720,0,1
4.788891520,0,0
4.788893280,0,1
4.788894080,0,0
4.788894560,1,0
4.788897600,0,0
4.788898080,0,1
4.788898880,0,0
4.788900640,0,1
4.788901440,0,0
4.788903040,0,1
4.788903840,0,0
4.788905600,0,1
4.788906400,0,0
4.788908160,0,1
4.788908960,0,0
4.788910560,0,1
4.788911360,0,0
4.788913120,0,1
4.788913920,0,0
4.788915520,0,1
4.788916320,0,0
4.788918080,0,1
4.788918880,0,0
4.788919360,1,0
4.788922400,0,0
4.788922880,0,1
4.788923680,0,0
4.788925440,0,1
4.788926240,0,0
4.788928000,0,1
4.788928800,0,0
4.788930400,0,1
4.788931200,0,0
4.788932960,0,1
4.788933760,0,0
4.788935520,0,1
4.788936160,0,0
4.788937920,0,1
4.788938720,0,0
4.788940480,0,1
4.788941280,0,0
4.788942880,0,1
4.788943680,0,0
4.788944320,1,0
4.788945120,0,0
4.788945920,0,1
4.788946880,1,1
4.788948800,0,1
4.788949600,0,0
4.788951360,0,1
4.788952160,0,0
4.788953920,0,1
4.788954560,0,0
4.788956320,0,1
4.788957120,0,0
4.788957600,1,0
4.788958880,1,1
4.788959680,1,0
4.788960000,0,0
4.788961280,0,1
4.788962080,0,0
4.788963840,0,1
